Category,Title,Author,Priority
Fantasy,The Book of Atrix Wolfe,Patricia A. McKillip,2
Fantasy,The Forgotten Beasts of Eld,Patricia A. McKillip,2
Fantasy,The Name of the Wind,Patrick Rothfuss,2
Fantasy,The Wise Man's Fear,Patrick Rothfuss,2
Fantasy,The Darkness That Comes Before,R. Scott Bakker,2
Fantasy,The Thousandfold Thought,R. Scott Bakker,2
Fantasy,The Warrior Prophet,R. Scott Bakker,2
Fantasy,Babel,R.F. Kuang,2
Fantasy,The Burning God,R.F. Kuang,2
Fantasy,The Dragon Republic,R.F. Kuang,2
Fantasy,The Poppy War,R.F. Kuang,2
Fantasy,Black Sun,Rebecca Roanhorse,2
Fantasy,Fevered Star,Rebecca Roanhorse,2
Fantasy,Assassin's Apprentice,Robin Hobb,2
Fantasy,Assassin's Quest,Robin Hobb,2
Fantasy,Fool's Errand,Robin Hobb,2
Fantasy,Fool's Fate,Robin Hobb,2
Fantasy,Golden Fool,Robin Hobb,2
Fantasy,Royal Assassin,Robin Hobb,2
Fantasy,A Day of Fallen Night,Samantha Shannon,2
Fantasy,The Priory of the Orange Tree,Samantha Shannon,2
Fantasy,Red Seas Under Red Skies,Scott Lynch,2
Fantasy,The Lies of Locke Lamora,Scott Lynch,2
Fantasy,The Republic of Thieves,Scott Lynch,2
Fantasy,The Monster Baru Cormorant,Seth Dickinson,2
Fantasy,The Traitor Baru Cormorant,Seth Dickinson,2
Fantasy,A Stranger in Olondria,Sofia Samatar,2
Fantasy,The Winged Histories,Sofia Samatar,2
Fantasy,Deadhouse Gates,Steven Erikson,2
Fantasy,Gardens of the Moon,Steven Erikson,2
Fantasy,House of Chains,Steven Erikson,2
Fantasy,Memories of Ice,Steven Erikson,2
Fantasy,Midnight Tides,Steven Erikson,2
Fantasy,The Bonehunters,Steven Erikson,2
Fantasy,Stone of Farewell,Tad Williams,2
Fantasy,The Dragonbone Chair,Tad Williams,2
Fantasy,To Green Angel Tower,Tad Williams,2
Fantasy,Gideon the Ninth,Tamsyn Muir,2
Fantasy,Harrow the Ninth,Tamsyn Muir,2
Fantasy,Nona the Ninth,Tamsyn Muir,2
Fantasy,Lavinia,Ursula K. Le Guin,2
Fantasy,Sorcerer to the Crown,Zen Cho,2
Fantasy,The True Queen,Zen Cho,2
Fantasy,Transformation,Carol Berg,3
Fantasy,The Scorpio Races,Maggie Stiefvater,3
Fantasy,A Wizard's Guide to Defensive Baking,T. Kingfisher,3
Fantasy,Nettle & Bone,T. Kingfisher,3
Global History,King Leopold's Ghost,Adam Hochschild,1
Global History,A History of the Arab Peoples,Albert Hourani,1
Global History,1491,Charles C. Mann,1
Global History,1493,Charles C. Mann,1
Global History,The Penguin History of Latin America,Edwin Williamson,1
Global History,The Ottoman Empire: The Classical Age,Halil Inalcik,1
Global History,The Discovery of India,Jawaharlal Nehru,1
Global History,Born in Blood and Fire,John Chasteen,1
Global History,Africa: A Biography of the Continent,John Reader,1
Global History,The Great Divergence,Kenneth Pomeranz,1
Global History,The Venture of Islam,Marshall Hodgson,1
Global History,India After Gandhi,Ramachandra Guha,1
Governance,"Exit, Voice, and Loyalty",Albert O. Hirschman,1
Governance,The Rhetoric of Reaction,Albert O. Hirschman,1
Governance,"Institutions, Institutional Change and Economic Performance",Douglass North,1
Governance,Understanding Institutional Diversity,Elinor Ostrom,1
Governance,Political Order and Political Decay,Francis Fukuyama,1
Governance,The End of History and the Last Man,Francis Fukuyama,1
Governance,The Origins of Political Order,Francis Fukuyama,1
Governance,The Art of Not Being Governed,James C. Scott,1
Governance,Weapons of the Weak,James C. Scott,1
Governance,The Death and Life of Great American Cities,Jane Jacobs,1
Governance,Power and Prosperity,Mancur Olson,1
Governance,Political Order in Changing Societies,Samuel P. Huntington,1
Governance,The Clash of Civilizations and the Remaking of World Order,Samuel P. Huntington,1
History,Gulag,Anne Applebaum,1
History,Red Famine,Anne Applebaum,1
History,Twilight of Democracy,Anne Applebaum,1
History,Annihilation of Caste,B.R. Ambedkar,1
History,A Distant Mirror,Barbara Tuchman,1
History,The Guns of August,Barbara Tuchman,1
History,Imagined Communities,Benedict Anderson,1
History,The Black Jacobins,C.L.R. James,1
History,Ordinary Men,Christopher Browning,1
History,What Is History?,E.H. Carr,1
History,The Making of the English Working Class,E.P. Thompson,1
History,The History of the Decline and Fall of the Roman Empire,Edward Gibbon,1
History,The Age of Capital,Eric Hobsbawm,1
History,The Age of Empire,Eric Hobsbawm,1
History,The Age of Extremes,Eric Hobsbawm,1
History,The Age of Revolution,Eric Hobsbawm,1
History,Civilization and Capitalism,Fernand Braudel,1
History,The Mediterranean and the Mediterranean World in the Age of Philip II,Fernand Braudel,1
History,Decline and Fall of Roman Empire,Gibbon,1
History,Histories,Herodotus,1
History,A People's History of the United States,Howard Zinn,1
History,Collapse,Jared Diamond,1
History,Guns Germs and Steel,Jared Diamond,1
History,A History of Warfare,John Keegan,1
History,The Face of Battle,John Keegan,1
History,Feudal Society,Marc Bloch,1
History,The Historian's Craft,Marc Bloch,1
History,The Third Reich Trilogy,Richard J. Evans,1
History,The Power Broker,Robert Caro,1
History,The Years of Lyndon Johnson,Robert Caro,1
History,Peloponnesian War,Thucydides,1
History,Bloodlands,Timothy Snyder,1
History,On Tyranny,Timothy Snyder,1
History,The Road to Unfreedom,Timothy Snyder,1
History,Ill Fares the Land,Tony Judt,1
History,Postwar,Tony Judt,1
History,Black Reconstruction in America,W.E.B. Du Bois,1
History,The Souls of Black Folk,W.E.B. Du Bois,1
History,The Rise of the West,William H. McNeill,1
History,The Origins of the Second World War,A.J.P. Taylor,2
History,Ecological Imperialism,Alfred W. Crosby,2
History,The Columbian Exchange,Alfred W. Crosby,2
History,"Clues, Myths, and the Historical Method",Carlo Ginzburg,2
History,The Cheese and the Worms,Carlo Ginzburg,2
History,1776,David McCullough,2
History,John Adams,David McCullough,2
History,The Civilization of the Renaissance in Italy,Jacob Burckhardt,2
History,These Truths,Jill Lepore,2
History,Homo Ludens,Johan Huizinga,2
History,The Waning of the Middle Ages,Johan Huizinga,2
History,SPQR,Mary Beard,2
History,The Roman Triumph,Mary Beard,2
History,The Return of Martin Guerre,Natalie Zemon Davis,2
History,Civilization,Niall Ferguson,2
History,Empire,Niall Ferguson,2
History,Empire of Cotton,Sven Beckert,2
History,The Magic Lantern,Timothy Garton Ash,2
History,Homo Deus,Yuval Noah Harari,2
History,Sapiens,Yuval Noah Harari,2
Horror,Selected Poems and Tales,Edgar Allan Poe,1
Horror,Tales of the Grotesque and Arabesque,Edgar Allan Poe,1
Horror,The Narrative of Arthur Gordon Pym,Edgar Allan Poe,1
Horror,At the Mountains of Madness,H.P. Lovecraft,1
Horror,The Call of Cthulhu and Other Weird Stories,H.P. Lovecraft,1
Horror,The Case of Charles Dexter Ward,H.P. Lovecraft,1
Horror,The Dunwich Horror,H.P. Lovecraft,1
Horror,The Shadow over Innsmouth,H.P. Lovecraft,1
Horror,Hell House,Richard Matheson,1
Horror,I Am Legend,Richard Matheson,1
Horror,The Shrinking Man,Richard Matheson,1
Horror,Strange Case of Dr Jekyll and Mr Hyde,Robert Louis Stevenson,1
Horror,The Haunting of Hill House,Shirley Jackson,1
Horror,The Lottery and Other Stories,Shirley Jackson,1
Horror,We Have Always Lived in the Castle,Shirley Jackson,1
Horror,Carrie,Stephen King,1
Horror,Different Seasons,Stephen King,1
Horror,It,Stephen King,1
Horror,Misery,Stephen King,1
Horror,Night Shift,Stephen King,1
Horror,Pet Sematary,Stephen King,1
Horror,Salem's Lot,Stephen King,1
Horror,The Shining,Stephen King,1
Horror,The Stand,Stephen King,1
Horror,Best Ghost Stories of Algernon Blackwood,Algernon Blackwood,2
Horror,The Willows,Algernon Blackwood,2
Horror,Interview with the Vampire,Anne Rice,2
Horror,Queen of the Damned,Anne Rice,2
Horror,The Vampire Lestat,Anne Rice,2
Horror,The Great God Pan,Arthur Machen,2
Horror,The White People,Arthur Machen,2
Horror,Houses Under the Sea,Caitlín R. Kiernan,2
Horror,The Drowning Girl,Caitlín R. Kiernan,2
Horror,Books of Blood,Clive Barker,2
Horror,Imajica,Clive Barker,2
Horror,The Hellbound Heart,Clive Barker,2
Horror,Weaveworld,Clive Barker,2
Horror,Let the Right One In,John Ajvide Lindqvist,2
Horror,The Cipher,Kathe Koja,2
Horror,The Beautiful Thing That Awaits Us All,Laird Barron,2
Horror,The Imago Sequence,Laird Barron,2
Horror,Collected Ghost Stories,M.R. James,2
Horror,Our Share of Night,Mariana Enriquez,2
Horror,Things We Lost in the Fire,Mariana Enriquez,2
Horror,A Head Full of Ghosts,Paul Tremblay,2
Horror,Ghost Summer,Tananarive Due,2
Horror,The Good House,Tananarive Due,2
Horror,Grimscribe,Thomas Ligotti,2
Horror,Songs of a Dead Dreamer,Thomas Ligotti,2
Horror,The Conspiracy Against the Human Race,Thomas Ligotti,2
Horror,The Ballad of Black Tom,Victor LaValle,2
Horror,The Changeling,Victor LaValle,2
Horror,The House on the Borderland,William Hope Hodgson,2
Horror,The Night Land,William Hope Hodgson,2
Horror,Lost Souls,Poppy Z. Brite,3
Information Theory,Mathematical Theory of Communication,Shannon,1
Intelligence Studies,The Craft of Intelligence,Allen Dulles,1
Intelligence Studies,The Codebreakers,David Kahn,1
Intelligence Studies,The Art of Intelligence,Henry Crumpton,1
Intelligence Studies,Body of Secrets,James Bamford,1
Intelligence Studies,The Puzzle Palace,James Bamford,1
Intelligence Studies,The Shadow Factory,James Bamford,1
Intelligence Studies,Spycraft,Robert Wallace & Keith Melton,1
Intelligence Studies,Legacy of Ashes,Tim Weiner,1
Literary Criticism,Poetics,Aristotle,1
Literary Criticism,Orientalism,Edward Said,1
Literary Criticism,Mimesis,Erich Auerbach,1
Literary Criticism,How to Read and Why,Harold Bloom,1
Literary Criticism,The Anxiety of Influence,Harold Bloom,1
Literary Criticism,The Western Canon,Harold Bloom,1
Literary Criticism,Culture and Anarchy,Matthew Arnold,1
Literary Criticism,Essays in Criticism,Matthew Arnold,1
Literary Criticism,Problems of Dostoevsky's Poetics,Mikhail Bakhtin,1
Literary Criticism,Rabelais and His World,Mikhail Bakhtin,1
Literary Criticism,The Dialogic Imagination,Mikhail Bakhtin,1
Literary Criticism,Anatomy of Criticism,Northrop Frye,1
Literary Criticism,The Great Code,Northrop Frye,1
Literary Criticism,Theory of Literature,René Wellek and Austin Warren,1
Literary Criticism,Image-Music-Text,Roland Barthes,1
Literary Criticism,Mythologies,Roland Barthes,1
Literary Criticism,S/Z,Roland Barthes,1
Literary Criticism,The Pleasure of the Text,Roland Barthes,1
Literary Criticism,Lives of the Poets,Samuel Johnson,1
Literary Criticism,Preface to Shakespeare,Samuel Johnson,1
Literary Criticism,Against Interpretation,Susan Sontag,1
Literary Criticism,Illness as Metaphor,Susan Sontag,1
Literary Criticism,On Photography,Susan Sontag,1
Literary Criticism,The Sacred Wood,T.S. Eliot,1
Literary Criticism,Tradition and the Individual Talent,T.S. Eliot,1
Literary Criticism,The Well Wrought Urn,Cleanth Brooks,2
Literary Criticism,Beginnings,Edward Said,2
Literary Criticism,"The World, the Text, and the Critic",Edward Said,2
Literary Criticism,The Liberal Imagination,Lionel Trilling,2
Literary Criticism,The Rhetoric of Fiction,Wayne C. Booth,2
Literary Criticism,All About Love,bell hooks,2
Literary Criticism,Teaching to Transgress,bell hooks,2
Literary Theory,Of Grammatology,Jacques Derrida,1
Literary Theory,Longinus On the Sublime,Longinus,1
Literary Theory,The Mirror and the Lamp,M. H. Abrams,1
Literary Theory,The Death of the Author,Roland Barthes,1
Literature,The Fall,Albert Camus,1
Literature,Boris Godunov,Aleksandr Pushkin,1
Literature,Eugene Onegin,Aleksandr Pushkin,1
Literature,The Captain's Daughter,Aleksandr Pushkin,1
Literature,The Queen of Spades,Aleksandr Pushkin,1
Literature,The Black Tulip,Alexandre Dumas,1
Literature,The Count of Monte Cristo,Alexandre Dumas,1
Literature,The Man in the Iron Mask,Alexandre Dumas,1
Literature,The Three Musketeers,Alexandre Dumas,1
Literature,The Vicomte of Bragelonne,Alexandre Dumas,1
Literature,Twenty Years After,Alexandre Dumas,1
Literature,Agnes Grey,Anne Brontë,1
Literature,The Tenant of Wildfell Hall,Anne Brontë,1
Literature,Selected Stories,Anton Chekhov,1
Literature,The Lady with the Little Dog,Anton Chekhov,1
Literature,The Seagull,Anton Chekhov,1
Literature,Three Sisters,Anton Chekhov,1
Literature,Ward No. 6,Anton Chekhov,1
Literature,Ficciones,Borges,1
Literature,Dracula,Bram Stoker,1
Literature,The Jewel of Seven Stars,Bram Stoker,1
Literature,The Lady of the Shroud,Bram Stoker,1
Literature,Invisible Cities,Calvino,1
Literature,Don Quixote,Cervantes,1
Literature,A Christmas Carol,Charles Dickens,1
Literature,A Tale of Two Cities,Charles Dickens,1
Literature,Barnaby Rudge,Charles Dickens,1
Literature,Bleak House,Charles Dickens,1
Literature,David Copperfield,Charles Dickens,1
Literature,Dombey and Son,Charles Dickens,1
Literature,Great Expectations,Charles Dickens,1
Literature,Hard Times,Charles Dickens,1
Literature,Little Dorrit,Charles Dickens,1
Literature,Nicholas Nickleby,Charles Dickens,1
Literature,Oliver Twist,Charles Dickens,1
Literature,Our Mutual Friend,Charles Dickens,1
Literature,Jane Eyre,Charlotte Bronte,1
Literature,Shirley,Charlotte Brontë,1
Literature,The Professor,Charlotte Brontë,1
Literature,Villette,Charlotte Brontë,1
Literature,Anthills of the Savannah,Chinua Achebe,1
Literature,Arrow of God,Chinua Achebe,1
Literature,No Longer at Ease,Chinua Achebe,1
Literature,Things Fall Apart,Chinua Achebe,1
Literature,Near to the Wild Heart,Clarice Lispector,1
Literature,The Hour of the Star,Clarice Lispector,1
Literature,The Passion According to G.H.,Clarice Lispector,1
Literature,Água Viva,Clarice Lispector,1
Literature,All the Pretty Horses,Cormac McCarthy,1
Literature,Blood Meridian,Cormac McCarthy,1
Literature,Child of God,Cormac McCarthy,1
Literature,Cities of the Plain,Cormac McCarthy,1
Literature,No Country for Old Men,Cormac McCarthy,1
Literature,Outer Dark,Cormac McCarthy,1
Literature,Suttree,Cormac McCarthy,1
Literature,The Crossing,Cormac McCarthy,1
Literature,The Road,Cormac McCarthy,1
Literature,Lady Chatterley's Lover,D.H. Lawrence,1
Literature,Sons and Lovers,D.H. Lawrence,1
Literature,The Rainbow,D.H. Lawrence,1
Literature,Women in Love,D.H. Lawrence,1
Literature,A Journal of the Plague Year,Daniel Defoe,1
Literature,Moll Flanders,Daniel Defoe,1
Literature,Robinson Crusoe,Daniel Defoe,1
Literature,Divine Comedy,Dante,1
Literature,De Monarchia,Dante Alighieri,1
Literature,Inferno,Dante Alighieri,1
Literature,La Vita Nuova,Dante Alighieri,1
Literature,Paradiso,Dante Alighieri,1
Literature,Purgatorio,Dante Alighieri,1
Literature,Infinite Jest,David Foster Wallace,1
Literature,Americana,Don DeLillo,1
Literature,Libra,Don DeLillo,1
Literature,Mao II,Don DeLillo,1
Literature,Underworld,Don DeLillo,1
Literature,White Noise,Don DeLillo,1
Literature,Brothers Karamazov,Dostoevsky,1
Literature,Crime and Punishment,Dostoevsky,1
Literature,A Passage to India,E.M. Forster,1
Literature,A Room with a View,E.M. Forster,1
Literature,Howards End,E.M. Forster,1
Literature,Maurice,E.M. Forster,1
Literature,The Faerie Queene,Edmund Spenser,1
Literature,The Shepheardes Calender,Edmund Spenser,1
Literature,Wuthering Heights,Emily Bronte,1
Literature,A Farewell to Arms,Ernest Hemingway,1
Literature,For Whom the Bell Tolls,Ernest Hemingway,1
Literature,In Our Time,Ernest Hemingway,1
Literature,The Old Man and the Sea,Ernest Hemingway,1
Literature,The Sun Also Rises,Ernest Hemingway,1
Literature,Tender Is the Night,F. Scott Fitzgerald,1
Literature,The Beautiful and Damned,F. Scott Fitzgerald,1
Literature,The Great Gatsby,F. Scott Fitzgerald,1
Literature,This Side of Paradise,F. Scott Fitzgerald,1
Literature,Sound and the Fury,Faulkner,1
Literature,Selected Poems,Fernando Pessoa,1
Literature,The Book of Disquiet,Fernando Pessoa,1
Literature,Madame Bovary,Flaubert,1
Literature,Amerika,Franz Kafka,1
Literature,In the Penal Colony,Franz Kafka,1
Literature,Metamorphosis,Franz Kafka,1
Literature,The Castle,Franz Kafka,1
Literature,The Trial,Franz Kafka,1
Literature,Gargantua and Pantagruel,François Rabelais,1
Literature,Crime and Punishment,Fyodor Dostoevsky,1
Literature,Demons,Fyodor Dostoevsky,1
Literature,Notes from Underground,Fyodor Dostoevsky,1
Literature,Poor Folk,Fyodor Dostoevsky,1
Literature,The Adolescent,Fyodor Dostoevsky,1
Literature,The Brothers Karamazov,Fyodor Dostoevsky,1
Literature,The Double,Fyodor Dostoevsky,1
Literature,The Gambler,Fyodor Dostoevsky,1
Literature,The House of the Dead,Fyodor Dostoevsky,1
Literature,The Idiot,Fyodor Dostoevsky,1
Literature,Chronicle of a Death Foretold,Gabriel García Márquez,1
Literature,Love in the Time of Cholera,Gabriel García Márquez,1
Literature,No One Writes to the Colonel,Gabriel García Márquez,1
Literature,One Hundred Years of Solitude,Gabriel García Márquez,1
Literature,The Autumn of the Patriarch,Gabriel García Márquez,1
Literature,One Hundred Years of Solitude,Garcia Marquez,1
Literature,The Book of the Duchess,Geoffrey Chaucer,1
Literature,The Canterbury Tales,Geoffrey Chaucer,1
Literature,Troilus and Criseyde,Geoffrey Chaucer,1
Literature,Adam Bede,George Eliot,1
Literature,Daniel Deronda,George Eliot,1
Literature,Middlemarch,George Eliot,1
Literature,Silas Marner,George Eliot,1
Literature,The Mill on the Floss,George Eliot,1
Literature,The Decameron,Giovanni Boccaccio,1
Literature,Faust,Goethe,1
Literature,Bouvard and Pécuchet,Gustave Flaubert,1
Literature,Madame Bovary,Gustave Flaubert,1
Literature,Salammbô,Gustave Flaubert,1
Literature,Sentimental Education,Gustave Flaubert,1
Literature,Three Tales,Gustave Flaubert,1
Literature,Cat and Mouse,Günter Grass,1
Literature,Dog Years,Günter Grass,1
Literature,The Tin Drum,Günter Grass,1
Literature,1Q84,Haruki Murakami,1
Literature,Hard-Boiled Wonderland and the End of the World,Haruki Murakami,1
Literature,Kafka on the Shore,Haruki Murakami,1
Literature,Norwegian Wood,Haruki Murakami,1
Literature,The Wind-Up Bird Chronicle,Haruki Murakami,1
Literature,Sun Also Rises,Hemingway,1
Literature,An Enemy of the People,Henrik Ibsen,1
Literature,Ghosts,Henrik Ibsen,1
Literature,Peer Gynt,Henrik Ibsen,1
Literature,The Wild Duck,Henrik Ibsen,1
Literature,Joseph Andrews,Henry Fielding,1
Literature,Tom Jones,Henry Fielding,1
Literature,Demian,Hermann Hesse,1
Literature,Narcissus and Goldmund,Hermann Hesse,1
Literature,Siddhartha,Hermann Hesse,1
Literature,Steppenwolf,Hermann Hesse,1
Literature,The Glass Bead Game,Hermann Hesse,1
Literature,Iliad,Homer,1
Literature,Odyssey,Homer,1
Literature,Cousin Bette,Honoré de Balzac,1
Literature,César Birotteau,Honoré de Balzac,1
Literature,Eugénie Grandet,Honoré de Balzac,1
Literature,Lost Illusions,Honoré de Balzac,1
Literature,Père Goriot,Honoré de Balzac,1
Literature,The Wild Ass's Skin,Honoré de Balzac,1
Literature,Cosmicomics,Italo Calvino,1
Literature,If on a winter's night a traveler,Italo Calvino,1
Literature,Invisible Cities,Italo Calvino,1
Literature,The Baron in the Trees,Italo Calvino,1
Literature,The Castle of Crossed Destinies,Italo Calvino,1
Literature,A Sportsman's Sketches,Ivan Turgenev,1
Literature,Fathers and Sons,Ivan Turgenev,1
Literature,Home of the Gentry,Ivan Turgenev,1
Literature,On the Eve,Ivan Turgenev,1
Literature,Rudin,Ivan Turgenev,1
Literature,Franny and Zooey,J.D. Salinger,1
Literature,Nine Stories,J.D. Salinger,1
Literature,The Catcher in the Rye,J.D. Salinger,1
Literature,Disgrace,J.M. Coetzee,1
Literature,Foe,J.M. Coetzee,1
Literature,Life & Times of Michael K,J.M. Coetzee,1
Literature,Waiting for the Barbarians,J.M. Coetzee,1
Literature,Another Country,James Baldwin,1
Literature,Giovanni's Room,James Baldwin,1
Literature,Go Tell It on the Mountain,James Baldwin,1
Literature,If Beale Street Could Talk,James Baldwin,1
Literature,The Fire Next Time,James Baldwin,1
Literature,A Portrait of the Artist as a Young Man,James Joyce,1
Literature,Dubliners,James Joyce,1
Literature,Exiles,James Joyce,1
Literature,Finnegans Wake,James Joyce,1
Literature,Ulysses,James Joyce,1
Literature,Emma,Jane Austen,1
Literature,Lady Susan,Jane Austen,1
Literature,Mansfield Park,Jane Austen,1
Literature,Northanger Abbey,Jane Austen,1
Literature,Persuasion,Jane Austen,1
Literature,Pride and Prejudice,Jane Austen,1
Literature,Sense and Sensibility,Jane Austen,1
Literature,Elective Affinities,Johann Wolfgang von Goethe,1
Literature,"Faust, Part One",Johann Wolfgang von Goethe,1
Literature,"Faust, Part Two",Johann Wolfgang von Goethe,1
Literature,The Sorrows of Young Werther,Johann Wolfgang von Goethe,1
Literature,Wilhelm Meister's Apprenticeship,Johann Wolfgang von Goethe,1
Literature,The Pilgrim's Progress,John Bunyan,1
Literature,Areopagitica,John Milton,1
Literature,Samson Agonistes,John Milton,1
Literature,Cannery Row,John Steinbeck,1
Literature,East of Eden,John Steinbeck,1
Literature,Of Mice and Men,John Steinbeck,1
Literature,The Grapes of Wrath,John Steinbeck,1
Literature,The Winter of Our Discontent,John Steinbeck,1
Literature,Tortilla Flat,John Steinbeck,1
Literature,A Modest Proposal,Jonathan Swift,1
Literature,A Tale of a Tub,Jonathan Swift,1
Literature,Gulliver's Travels,Jonathan Swift,1
Literature,Ficciones,Jorge Luis Borges,1
Literature,Labyrinths,Jorge Luis Borges,1
Literature,Other Inquisitions,Jorge Luis Borges,1
Literature,The Aleph,Jorge Luis Borges,1
Literature,Heart of Darkness,Joseph Conrad,1
Literature,Lord Jim,Joseph Conrad,1
Literature,Nostromo,Joseph Conrad,1
Literature,The Secret Agent,Joseph Conrad,1
Literature,Under Western Eyes,Joseph Conrad,1
Literature,Victory,Joseph Conrad,1
Literature,Baltasar and Blimunda,José Saramago,1
Literature,Blindness,José Saramago,1
Literature,Seeing,José Saramago,1
Literature,The Gospel According to Jesus Christ,José Saramago,1
Literature,Dubliners,Joyce,1
Literature,Ulysses,Joyce,1
Literature,Pedro Páramo,Juan Rulfo,1
Literature,The Burning Plain,Juan Rulfo,1
Literature,Blow-Up and Other Stories,Julio Cortázar,1
Literature,Hopscotch,Julio Cortázar,1
Literature,In Praise of Shadows,Jun'ichirō Tanizaki,1
Literature,Some Prefer Nettles,Jun'ichirō Tanizaki,1
Literature,The Key,Jun'ichirō Tanizaki,1
Literature,The Makioka Sisters,Jun'ichirō Tanizaki,1
Literature,Metamorphosis,Kafka,1
Literature,Trial,Kafka,1
Literature,An Artist of the Floating World,Kazuo Ishiguro,1
Literature,The Buried Giant,Kazuo Ishiguro,1
Literature,The Remains of the Day,Kazuo Ishiguro,1
Literature,The Unconsoled,Kazuo Ishiguro,1
Literature,When We Were Orphans,Kazuo Ishiguro,1
Literature,Breakfast of Champions,Kurt Vonnegut,1
Literature,Cat's Cradle,Kurt Vonnegut,1
Literature,Mother Night,Kurt Vonnegut,1
Literature,Player Piano,Kurt Vonnegut,1
Literature,Slaughterhouse-Five,Kurt Vonnegut,1
Literature,The Sirens of Titan,Kurt Vonnegut,1
Literature,A Sentimental Journey,Laurence Sterne,1
Literature,"The Life and Opinions of Tristram Shandy, Gentleman",Laurence Sterne,1
Literature,Anna Karenina,Leo Tolstoy,1
Literature,"Childhood, Boyhood, Youth",Leo Tolstoy,1
Literature,Hadji Murad,Leo Tolstoy,1
Literature,Resurrection,Leo Tolstoy,1
Literature,The Death of Ivan Ilyich,Leo Tolstoy,1
Literature,The Kreutzer Sonata,Leo Tolstoy,1
Literature,War and Peace,Leo Tolstoy,1
Literature,What Is Art?,Leo Tolstoy,1
Literature,Diary of a Madman and Other Stories,Lu Xun,1
Literature,The True Story of Ah Q,Lu Xun,1
Literature,Dom Casmurro,Machado de Assis,1
Literature,Quincas Borba,Machado de Assis,1
Literature,The Posthumous Memoirs of Brás Cubas,Machado de Assis,1
Literature,In the Shadow of Young Girls in Flower,Marcel Proust,1
Literature,Sodom and Gomorrah,Marcel Proust,1
Literature,Swann's Way,Marcel Proust,1
Literature,The Fugitive,Marcel Proust,1
Literature,The Guermantes Way,Marcel Proust,1
Literature,The Prisoner,Marcel Proust,1
Literature,Time Regained,Marcel Proust,1
Literature,The Last Man,Mary Shelley,1
Literature,Valperga,Mary Shelley,1
Literature,Moby Dick,Melville,1
Literature,Essays,Michel de Montaigne,1
Literature,Don Quixote,Miguel de Cervantes,1
Literature,Exemplary Novels,Miguel de Cervantes,1
Literature,Immortality,Milan Kundera,1
Literature,The Book of Laughter and Forgetting,Milan Kundera,1
Literature,The Unbearable Lightness of Being,Milan Kundera,1
Literature,Paradise Lost,Milton,1
Literature,Big Breasts and Wide Hips,Mo Yan,1
Literature,Life and Death Are Wearing Me Out,Mo Yan,1
Literature,Red Sorghum,Mo Yan,1
Literature,Tartuffe,Molière,1
Literature,The Imaginary Invalid,Molière,1
Literature,The Misanthrope,Molière,1
Literature,The School for Wives,Molière,1
Literature,Cairo Trilogy,Naguib Mahfouz,1
Literature,Children of the Alley,Naguib Mahfouz,1
Literature,Midaq Alley,Naguib Mahfouz,1
Literature,Botchan,Natsume Sōseki,1
Literature,I Am a Cat,Natsume Sōseki,1
Literature,Kokoro,Natsume Sōseki,1
Literature,Sanshirō,Natsume Sōseki,1
Literature,A Grain of Wheat,Ngũgĩ wa Thiong'o,1
Literature,Petals of Blood,Ngũgĩ wa Thiong'o,1
Literature,The River Between,Ngũgĩ wa Thiong'o,1
Literature,Wizard of the Crow,Ngũgĩ wa Thiong'o,1
Literature,Discourses on Livy,Niccolò Machiavelli,1
Literature,Florentine Histories,Niccolò Machiavelli,1
Literature,The Art of War,Niccolò Machiavelli,1
Literature,Dead Souls,Nikolai Gogol,1
Literature,Diary of a Madman,Nikolai Gogol,1
Literature,Taras Bulba,Nikolai Gogol,1
Literature,The Nose,Nikolai Gogol,1
Literature,The Overcoat,Nikolai Gogol,1
Literature,Istanbul,Orhan Pamuk,1
Literature,My Name Is Red,Orhan Pamuk,1
Literature,Snow,Orhan Pamuk,1
Literature,The Black Book,Orhan Pamuk,1
Literature,American Pastoral,Philip Roth,1
Literature,Portnoy's Complaint,Philip Roth,1
Literature,Sabbath's Theater,Philip Roth,1
Literature,The Counterlife,Philip Roth,1
Literature,The Plot Against America,Philip Roth,1
Literature,Gravitys Rainbow,Pynchon,1
Literature,Invisible Man,Ralph Ellison,1
Literature,Shadow and Act,Ralph Ellison,1
Literature,Black Boy,Richard Wright,1
Literature,Native Son,Richard Wright,1
Literature,The Outsider,Richard Wright,1
Literature,2666,Roberto Bolaño,1
Literature,By Night in Chile,Roberto Bolaño,1
Literature,Last Evenings on Earth,Roberto Bolaño,1
Literature,The Savage Detectives,Roberto Bolaño,1
Literature,Midnights Children,Salman Rushdie,1
Literature,Herzog,Saul Bellow,1
Literature,Humboldt's Gift,Saul Bellow,1
Literature,Seize the Day,Saul Bellow,1
Literature,The Adventures of Augie March,Saul Bellow,1
Literature,The Pillow Book,Sei Shōnagon,1
Literature,Water Margin,Shi Nai'an,1
Literature,Grapes of Wrath,Steinbeck,1
Literature,The Charterhouse of Parma,Stendhal,1
Literature,The Red and the Black,Stendhal,1
Literature,Secondhand Time,Svetlana Alexievich,1
Literature,The Unwomanly Face of War,Svetlana Alexievich,1
Literature,Voices from Chernobyl,Svetlana Alexievich,1
Literature,Collected Poems,Sylvia Plath,1
Literature,The Bell Jar,Sylvia Plath,1
Literature,Season of Migration to the North,Tayeb Salih,1
Literature,Far from the Madding Crowd,Thomas Hardy,1
